text,merek,jenis_produk,kandungan,manfaat
bioderma essence lotion toner pelembab wajah,bioderma,essence lotion toner pelembab wajah,,
emina sun battle bright glow spf 35 pa sunscreen serum amino vitamin c,emina,sunscreen serum,amino vitamin c,sun battle bright glow spf 35 pa
wardah aloe hydramild facial wash,wardah,facial wash,aloe,hydramild
nuface hydra lock youthful skin serum anti - aging,nuface,serum,,"anti - aging, hydra lock youthful skin"
nuface me sun shield spf 50 pa,nuface me,,,sun shield spf 50 pa
erha face wash sabun wajah kulit sensitif,erha,"sabun wajah, face wash",,kulit sensitif
skintific toner soothing ceramide repair skin barrier,skintific,toner,ceramide,"repair skin barrier, soothing"
erha brightening pore toner pencerah wajah hitam pelembab hydrating tranexamic acid,erha,"pelembab, toner",tranexamic acid,"brightening pore, pencerah wajah hitam, hydrating"
bioderma gel moisturizer,bioderma,"gel, moisturizer",,
safi age defy radiant day cream emulsion spf 25 pa pagi,safi,cream emulsion,,"age defy radiant day, spf 25 pa pagi"
cerave facial moisturising lotion spf30 pelembab wajah,cerave,"lotion, pelembab wajah",,"facial moisturising, spf30"
neutrogena moisturizer repair regenerating cream pelembap untuk mengurangi kerutan,neutrogena,"moisturizer, cream pelembap",,"repair regenerating, untuk mengurangi kerutan"
skintific moisturizer gel ceramide repair skin barrier,skintific,moisturizer gel,ceramide,repair skin barrier
cetaphil sunscreen spf50 light gel tabir surya ringan untuk kulit sensitif perlindungan uva uvb,cetaphil,"gel tabir surya, sunscreen",,"ringan untuk kulit sensitif perlindungan uva uvb, spf50 light"
you amino anti jerawat facial wash sabun cuci wajah,you,facial wash sabun cuci wajah,amino,anti jerawat
safi ultimate bright purifying cleanser wajah pori,safi,cleanser,,"wajah pori, ultimate bright purifying"
senka facial foam white sabun cleanser wajah,senka,"facial foam, sabun cleanser wajah",,white
erha toner untuk kulit sensitif,erha,toner,,untuk kulit sensitif
biore mens facial foam clean oil balance sabun wajah,biore mens,"sabun wajah, facial foam",,clean oil balance
you amino anti bacterial facial wash acid berminyak,you,facial wash,"acid, amino","berminyak, anti bacterial"
you amino brightening facial wash pencerah wajah kuning hyaluronic acid asam untuk membersihkan pori angkat sel kulit mati,you,facial wash,"hyaluronic acid, asam, amino","untuk membersihkan pori angkat sel kulit mati, pencerah wajah kuning, brightening"
somethinc acnedot treatment moisturizer gel pelembab wajah,somethinc,moisturizer gel pelembab wajah,,acnedot treatment
nivea body spf,nivea,,,"body, spf"
you amino brightening facial wash pencerah wajah acid,you,facial wash,"acid, amino","pencerah wajah, brightening"
acnes creamy wash facial,acnes,creamy wash facial,,
erha facial wash jerawat berminyak wajah perawatan,erha,facial wash,,"jerawat, berminyak wajah perawatan"
azarine daily moisturizer oil brightening,azarine,moisturizer,,"oil brightening, daily"
senka facial foam fresh anti shine,senka,facial foam,,fresh anti shine
erha21 erha facial wash normal dry skin sabun wajah wanita vitamin,erha21 erha,"sabun wajah, facial wash",vitamin,"normal dry skin, wanita"
labore repair cream pelembab kulit sangat kering sensitif,labore,cream,,"pelembab kulit sangat kering sensitif, repair"
momami soothing gel aloe vera,momami,gel,aloe vera,soothing
natur e advanced intensive eye treatment serum perawatan mata astaxanthin cucumber vitamin,natur e,serum,"astaxanthin cucumber, vitamin","perawatan mata, advanced intensive eye treatment"
bioderma cleanser wajah untuk kulit sensitif,bioderma,cleanser wajah,,untuk kulit sensitif
kahf triple protection sunscreen moisturizer spf 30 pa pelembap wajah pria melindungi dari sinar uv,kahf,"sunscreen moisturizer, pelembap",,"spf 30 pa, triple protection, wajah pria melindungi dari sinar uv"
nivea men white oil control facial foam,nivea men,facial foam,,white oil control
kahf sunscreen stick spf 50 pa tabir surya pria,kahf,"tabir surya, sunscreen stick",,"pria, spf 50 pa"
spf 50 pa lotion wajah ultra protection sunscreen cooling perlindungan uv terbaik tahan air keringat segar pendinginan,,"lotion wajah, sunscreen",,"cooling perlindungan uv terbaik tahan air keringat segar pendinginan, ultra protection, spf 50 pa"
la roche posay balm,la roche posay,balm,,
azarine hydrasoothe sunscreen gel spf45 pa tabir surya pelembab kulit,azarine,"sunscreen gel, tabir surya",,"pelembab kulit, spf45 pa, hydrasoothe"
cerave foaming cleanser normal to oily skin wajah,cerave,foaming cleanser,,normal to oily skin wajah
skin aqua uv moisturizer milk spf50 pa perawatan wajah melindungi kulit serta mencerahkan,skin aqua,moisturizer,milk,"spf50 pa, uv, perawatan wajah melindungi kulit serta mencerahkan"
hanasui white serum,hanasui,serum,,white
verile jerawat care facial wash sabun pencuci wajah,verile,facial wash sabun pencuci wajah,,jerawat care
hanasui vitamin c serum orange,hanasui,serum,"orange, vitamin c",
erha jerawat sunscreen spf 45 pa wajah mencerahkan,erha,sunscreen,,"jerawat, spf 45 pa wajah mencerahkan"
la roche posay moisturizer untuk melembabkan kulit sensitif,la roche posay,moisturizer,,untuk melembabkan kulit sensitif
bioderma ultra face body moisturizer pelembab kulit,bioderma,moisturizer,,"pelembab kulit, ultra face body"
scabimite blacksoap cleansing,scabimite,blacksoap,,cleansing
clinelle hydracalm cream wajah,clinelle,cream wajah,,hydracalm
acnes natural care yoghurt face wash facial komedo,acnes,face wash,yoghurt,"facial komedo, natural care"
hada labo tamagohada lotion mild peeling,hada labo tamagohada,lotion,,mild peeling
nivea sun face serum instant aura spf 50 sunscreen wajah,nivea,"sunscreen wajah, sun face serum",,instant aura spf 50
clinelle hydracalm lotion melembabkan kulit wajah,clinelle,lotion,,"hydracalm, melembabkan kulit wajah"
la roche posay vitamin c12 mencerahkan menyamarkan kerutan,la roche posay,,vitamin c12,mencerahkan menyamarkan kerutan
azarine hydramax c sunscreen serum spf 50 pa,azarine,sunscreen serum,c,"hydramax, spf 50 pa"
himalaya clear complexion white face wash cleanser wajah,himalaya,face wash cleanser wajah,,clear complexion white
emina bright face wash,emina,face wash,,bright
glowsophy watermelon brightening moisturizer skin barrier niacinamide gel day and night pelembab wajah mencerahkan kulit bercahaya cream pencerah ceramide,glowsophy,"gel, moisturizer, cream, pelembab wajah","watermelon, niacinamide, ceramide","mencerahkan kulit bercahaya, day and night, skin barrier, brightening, pencerah"
erha age corrector day cream peptides hyaluronate moisturizer pelembab hitam perawatan,erha,"moisturizer, cream",peptides hyaluronate,"age corrector day, pelembab hitam perawatan"
erha deep cleansing facial wash sabun wajah pria,erha,facial wash sabun wajah pria,,deep cleansing
biore uv aqua rich sunscreen,biore,sunscreen,aqua,"uv, rich"
white neng skin cream penyamar noda hitam wajah,,skin cream,,"white neng, penyamar noda hitam wajah"
azarine toner acids glowing,azarine,toner,acids,glowing
garnier men fight anti jerawat,garnier men,,,fight anti jerawat
himalaya oil control lemon face wash cleanser wajah minyak,himalaya,face wash cleanser,lemon,"oil control, wajah minyak"
acnes natural care oil control face wash,acnes,face wash,,natural care oil control
erha arbutin panthenol brightening day cream wajah niacinamide pelembab,erha,"pelembab, cream wajah","arbutin panthenol, niacinamide",brightening day
skintific moisturizer cream gel,skintific,moisturizer cream gel,,
erha niacinamide peptide dark spot corrector hitam perawatan wajah,erha,,niacinamide peptide,dark spot corrector hitam perawatan wajah
erha booster facial wash sabun wajah pencerah pria,erha,booster facial wash sabun wajah,,pencerah pria
physiogel cream,physiogel,cream,,
erto why jerawat toner untuk kulit berminyak prone skin oil control anti inflamasi,erto why,toner,,"jerawat, untuk kulit berminyak prone skin oil control anti inflamasi"
why jerawat facial wash ertos cleanser untuk kulit berminyak prone skin oil control wajah sabun cuci anti inflamasi,"ertos, why","facial wash, sabun cuci, cleanser",,"jerawat, anti inflamasi, untuk kulit berminyak prone skin oil control wajah"
clinelle hydracalm cleansing gel serum,clinelle,gel serum,,hydracalm cleansing
westcare uv protector spf 45 pa sunblock wajah,westcare,sunblock wajah,,uv protector spf 45 pa
sariayu age defense face serum,sariayu,face serum,,age defense
clinelle calm care treatment cream pelembab kulit sensitif kemerahan,clinelle,cream pelembab,,"kemerahan, calm care treatment, kulit sensitif"
clinelle whitenup brightening cleanser,clinelle,cleanser,,whitenup brightening
clinelle purifying gel moisturizer pelembab wajah kulit berminyak jerawat,clinelle,gel moisturizer pelembab,,"purifying, wajah kulit berminyak jerawat"
ovale facial lotion intense glow white aloe vera bengkoang,ovale,facial lotion,aloe vera bengkoang,intense glow white
viva face tonic lemon,viva,face tonic,lemon,
erto facial treatment centella asiatica wash sabun cuci wajah cleanser ph balance untuk semua jenis kulit,erto,wash sabun cuci wajah cleanser,centella asiatica,"ph balance untuk semua jenis kulit, facial treatment"
berryc spray patch stiker anti nyamuk pengusir gigitan serangga anak bayi dewasa kuat awet lucu mini pocket semprotan,berryc,"spray, patch stiker, mini pocket semprotan",,"anti nyamuk, kuat awet lucu, pengusir gigitan serangga anak bayi dewasa"
erto sabun cuci wajah cleanser ph balance untuk semua jenis kulit membersihkan kotoran perawatan,erto,sabun cuci wajah cleanser,,ph balance untuk semua jenis kulit membersihkan kotoran perawatan
sariayu spf 30 pa tone up sunscreen serum instant brightening mencerahkan non acnegenic comedogenic broad spectrum glowing sunblock,sariayu,"sunblock, tone up sunscreen serum",,"spf 30 pa, non acnegenic comedogenic broad spectrum glowing, instant brightening mencerahkan"
physiogel daily moisturizer cream,physiogel,"moisturizer, cream",,daily
ertos serum retinol niacinamide,ertos,serum,retinol niacinamide,
,,,,
klinsen facial oil control white,klinsen,,,facial oil control white
sariayu jeruk cleansing milk,sariayu,,"jeruk, milk",cleansing
sariayu jeruk refreshing toner,sariayu,toner,jeruk,refreshing
anti - aging serum hydrating anti flek hitam untuk semua jenis kulit,,serum,,"anti - aging, hydrating anti flek hitam untuk semua jenis kulit"
erto sunscreen gel sunblock untuk semua jenis kulit spf uva uvb protector skin barrier protect anti flek anti - aging,erto,sunscreen gel sunblock,,untuk semua jenis kulit spf uva uvb protector skin barrier protect anti flek anti - aging
clinelle firming cream,clinelle,cream,,firming
erto men serum malam niacinamide centella brigtening white,erto men,serum,niacinamide centella,"malam, brigtening white"
erto night cream malam mencerahkan glowing brightening untuk kulit normal kering white moisturizer pelembab wajah,erto,"cream, moisturizer pelembab wajah",,"malam mencerahkan glowing brightening untuk kulit normal kering white, night"
westcare exfoliating face wash,westcare,face wash,,exfoliating
sabun aha bha pha cleanser wajah ph balanced untuk kulit jerawat,,"sabun, cleanser wajah",aha bha pha,ph balanced untuk kulit jerawat
erto glowing day cream siang mencerahkan brightening white untuk kulit kering normal,erto,cream,,"siang mencerahkan brightening white untuk kulit kering normal, glowing day"
astaderm gel pelembab wajah,astaderm,gel pelembab wajah,,
sunscreen tone up serum sariayu spf 30 pa non alcohol,sariayu,sunscreen tone up serum,,spf 30 pa non alcohol
sunscreen spf 30 pa tone up serum,,"tone up serum, sunscreen",,spf 30 pa
sariayu hydraglow face serum,sariayu,face serum,,hydraglow
sariayu mawar cleansing milk,sariayu,,"milk, mawar",cleansing
erto expert spf 30 pa sunblock untuk semua jenis kulit,erto,sunblock,,"expert spf 30 pa, untuk semua jenis kulit"
ertos eyebag dark circle serum mata perawatan treatment eye cream menghilangkan kantong,ertos,"cream, serum mata",,"menghilangkan kantong, eyebag dark circle, perawatan treatment eye"
erto glowing gel mencerahkan brightening untuk kulit normal berminyak kering,erto,gel,,"glowing, mencerahkan brightening untuk kulit normal berminyak kering"
erto glowing facial toner untuk kulit kering brightening hydrating,erto,toner,,"untuk kulit kering brightening hydrating, glowing facial"
physiogel moisturizer cleanser,physiogel,"moisturizer, cleanser",,
clinelle skin smoothing scrub mask exfoliating wajah,clinelle,scrub mask,,"exfoliating wajah, skin smoothing"
erto men serum siang niacinamide centella brigtening white,erto men,serum,niacinamide centella,"brigtening white, siang"
erto niacinamide serum mencerahkan noda hitam melembabkan meratakan warna kulit,erto,serum,niacinamide,mencerahkan noda hitam melembabkan meratakan warna kulit
retinol serum untuk kulit berminyak glowing brightening vitamin anti - aging samarkan garis halus flek hitam,,serum,"retinol, vitamin","untuk kulit berminyak glowing brightening, anti - aging samarkan garis halus flek hitam"
sariayu moisturizer,sariayu,moisturizer,,
clinelle whitenup brightening spot essence,clinelle,essence,,whitenup brightening spot
l oreal shampoo,l oreal,shampoo,,
erto facial treatment sabun cuci wajah,erto,sabun cuci wajah,,facial treatment
kelly lemon soap,kelly,soap,lemon,
westcare rose hydrating toner,westcare,toner,rose,hydrating
sariayu mawar cleansing milk,sariayu,,"milk, mawar",cleansing
westcare glowing moisturizer,westcare,moisturizer,,glowing
astaderm cream pelembab kulit antioksidan,astaderm,cream pelembab kulit,,antioksidan
astaderm cream pelembab kulit antioksidan,astaderm,cream pelembab kulit,,antioksidan
ertos jerawat expert facial toner untuk kulit berminyak prone skin oil control anti inflamasi,ertos,toner,,"jerawat expert facial, untuk kulit berminyak prone skin oil control anti inflamasi"
erto eyelash serum bulu mata,erto,"eyelash serum, bulu mata",,
ertos glowing kulit mencerahkan,ertos,,,"glowing, kulit mencerahkan"
dayman facial wash scrub extra cooling,dayman,facial wash scrub,,extra cooling
erto astaxanthine cream siang mencerahkan glowing untuk kulit normal kering white moisturizer anti flek hitam,erto,"moisturizer, cream",astaxanthine,"anti flek hitam, siang mencerahkan glowing untuk kulit normal kering white"
physiogel moisturizer cleanser,physiogel,"moisturizer, cleanser",,
westcare brightening face wash,westcare,face wash,,brightening
erto glowing brightening white facial wash toner cream mencerahkan kulit wajah,erto,facial wash toner cream,,"glowing, brightening white, mencerahkan kulit wajah"
erto glowing facial wash sabun cuci wajah cleanser ph balance untuk kulit normal kering brightening anti - aging hydrating mencerahkan,erto,"sabun cuci wajah cleanser, facial wash",,"glowing, ph balance untuk kulit normal kering brightening anti - aging hydrating mencerahkan"
sariayu spf 30 pa tone up sunscreen serum,sariayu,tone up sunscreen serum,,spf 30 pa
erto glowing night cream malam mencerahkan brightening white untuk kulit kering,erto,cream,,"glowing night, malam mencerahkan brightening white untuk kulit kering"
sariayu refreshing toner,sariayu,toner,,refreshing
klinsen facial exfoliating,klinsen,,,facial exfoliating
biokos nutrition nutrient cleanser,biokos,cleanser,nutrition nutrient,
mederma gel,mederma,gel,,
sariayu age defense gel facial foam,sariayu,gel facial foam,,age defense
dewi sri spa rose body mist,dewi sri spa,body mist,rose,
biokos probiotic moisturizer cream gel,biokos,moisturizer cream gel,probiotic,
sariayu bright skin putih langsat moisturizer,sariayu,moisturizer,,bright skin putih langsat
biokos pure balance oil control toner,biokos,toner,,pure balance oil control
kahf face wash,kahf,face wash,,
renewage face wash,,face wash,,renewage
biokos nutrition facial foam,biokos,facial foam,nutrition,
autan refresh,autan refresh,,,
biokos age revitalize day cream spf30,biokos,cream,,"age revitalize day, spf30"
biokos age renew anti wrinkle revitalizing serum,biokos,serum,,age renew anti wrinkle revitalizing
biokos daily protection sunscreen spray spf 50 vitamin c,biokos,sunscreen spray,vitamin c,"daily protection, spf 50"
renewage face scrub,,face scrub,,renewage
happy green rosehip seed oil minyak biji,happy green,,rosehip seed oil minyak biji,
fabil facial foam back young skin barrier cream melembabkan membersihkan wajah secara menyeluruh mencerahkan,fabil,"facial foam, cream",,"melembabkan membersihkan wajah secara menyeluruh, back young skin barrier, mencerahkan"
happy green almond oil,happy green,,almond oil,
happy green maracuja oil minyak biji markisa,happy green,,maracuja oil minyak biji markisa,
papain enzyme facial cleanser sabun cuci wajah pencerah jerawat pepaya bright mencerahkan,papain enzyme,"sabun cuci wajah, facial cleanser",pepaya,"bright, pencerah jerawat, mencerahkan"
happy green black castor oil minyak hitam usda,happy green,,black castor oil minyak hitam usda,
cerave foaming cleanser ceramide face wash oily skin,cerave,"face wash, foaming cleanser",ceramide,oily skin
er 1 anti - aging intensive night cream aha txa aloe vera,er 1,cream,aha txa aloe vera,anti - aging intensive night
pure almond oil serum wajah,pure,serum wajah,almond oil,
pure olive oil serum wajah,pure,serum wajah,olive oil,
sulwhasoo ginseng rejuvenating ampoule perawatan wajah ampul anti - aging regenerating strengthening essence,sulwhasoo,essence,ginseng,"perawatan wajah ampul anti - aging regenerating strengthening, rejuvenating ampoule"
cerave hydrating cleanser moisturizing cream,cerave,"cream, cleanser",,"hydrating, moisturizing"
er pure bright brightening pencerah serum night cream sunscreen facial wash cleanser toner,er,"serum, cream, sunscreen facial wash cleanser toner",,"pure bright, night, brightening pencerah"
sulwhasoo cleansing cleanser wajah anti - aging facial,sulwhasoo,cleanser,,"wajah anti - aging facial, cleansing"
cerave moisturising cream pump ceramide normal dry,cerave,cream pump,ceramide,"moisturising, normal dry"
sulwhasoo ginseng rejuvenating cream rich moisturizer wajah pelembap anti - aging hydrating,sulwhasoo,cream rich moisturizer wajah pelembap,ginseng,"anti - aging hydrating, rejuvenating"
sulwhasoo ginseng brightening serum anti - aging wajah mencerahkan menenangkan kulit niacinamide essence pencerah,sulwhasoo,"serum, essence","ginseng, niacinamide","anti - aging wajah mencerahkan menenangkan kulit, pencerah, brightening"
happy green tamanu oil,happy green,,tamanu oil,
r1 kit cakep face wash calming essence toner refining bright serum uv watery shield sunscreen reviving midnight care,r1 kit cakep,"essence toner, serum, face wash, sunscreen",,"calming, refining bright, reviving midnight care, uv watery shield"
happy green argan oil,happy green,,argan oil,
happy green babassu oil,happy green,,babassu oil,
sulwhasoo first activating serum 6th anti - aging essence boosting perawatan wajah strengthen skin barrier ginseng,sulwhasoo,"serum, essence",ginseng,"6th anti - aging, activating, boosting perawatan wajah strengthen skin barrier, first"
cerave normal to oily essential foaming cleanser moisturising lotion hydrating,cerave,"lotion, essential, foaming cleanser",,"moisturising, normal to oily, hydrating"
er 1 brightening skin pencerah glowing day cream night toner wajah serum sunscreen facial cleanser,er 1,"toner wajah serum sunscreen facial cleanser, cream",,"night, brightening skin, pencerah glowing day"
sulwhasoo white ginseng radiance refining mask scrub exfoliating mencerahkan perawatan wajah anti - aging,sulwhasoo,mask scrub,ginseng,"white, radiance refining, exfoliating mencerahkan perawatan wajah anti - aging"
fabil basic hydration prep hydrasoothe barrier toner facial foam pelembap wajah mengatasi kemerahan iritasi kulit secara cepat cleanser yang tidak menimbulkan efek ketarik,fabil,"toner facial foam, cleanser",,"yang tidak menimbulkan efek ketarik, pelembap wajah mengatasi kemerahan iritasi kulit secara cepat, basic hydration prep hydrasoothe barrier"
er daily calming soothing toner chamomile aha,er,toner,chamomile aha,daily calming soothing
cerave resurfacing retinol serum jerawat prone skin,cerave,serum,retinol,"jerawat prone skin, resurfacing"
papain facial wash cleanser bright jerawat face sabun cuci wajah pepaya pencerah berminyak,papain,"facial wash, sabun cuci wajah, cleanser",pepaya,"pencerah berminyak, bright jerawat face"
happy green lavender,happy green,,lavender,
r1 mencerahkan tuntas,r1,,,mencerahkan tuntas
er 1 pure bright sunscreen niacinamide spf panthenol day cream uv matahari white dark spot pelembab,er 1,"pelembab, cream, sunscreen","niacinamide, panthenol","day, pure bright, uv matahari white dark spot, spf"
sulwhasoo ginseng rejuvenating cream anti - aging moisturizer wajah peptides,sulwhasoo,"cream, moisturizer wajah","ginseng, peptides","anti - aging, rejuvenating"
cerave daily moisturizing cream hydrating cleanser,cerave,"cream, cleanser",,"hydrating, daily moisturizing"
papain facial wash cleanser bright and jerawat face sabun cuci wajah pepaya pencerah,papain,"facial wash cleanser, sabun cuci wajah",pepaya,"pencerah, bright and jerawat face"
papain facial wash cleanser bright jerawat face sabun cuci wajah pepaya pencerah berminyak,papain,"facial wash, sabun cuci wajah, cleanser",pepaya,"pencerah berminyak, bright jerawat face"
cerave foaming cleanser,cerave,foaming cleanser,,
r1 calming essence toner wajah pria,r1,"essence toner, pria",,"calming, wajah"
essenli face and hair oil serum pelembab wajah,essenli,"face and hair oil serum, pelembab wajah",,
fabil moringa sunscreen mist spf 45 pa spray melembabkan melindungi dari sinar uv halus tidak pedih mata mudah diserap tanpa alkohol,fabil,"spray, sunscreen mist",moringa,"melembabkan melindungi dari sinar uv, mudah diserap tanpa alkohol, spf 45 pa, halus tidak pedih mata"
fabil bakuchiol nephelium revitalizing serum mengurangi garis halus kerutan memperbaiki tekstur kulit retinol moringa cica alpha arbutin,fabil,serum,"bakuchiol nephelium, moringa, cica alpha arbutin, retinol","mengurangi garis halus kerutan, revitalizing, memperbaiki tekstur kulit"
r1 bersih tuntas face wash calming essence toner,r1,"essence toner, face wash",,"calming, bersih tuntas"
happy green rosehip seed oil minyak biji,happy green,,rosehip seed oil minyak biji,
er 1 pure bright serum high anti oxidant alpha arbutin mencerahkan,er 1,serum,alpha arbutin,"pure bright, high anti oxidant, mencerahkan"
pure grapeseed oil minyak biji anggur serum wajah,pure,serum wajah,grapeseed oil minyak biji anggur,
lume facial cleanser komedo wajah,lume,facial cleanser,,"komedo, wajah"
er pure bright purifying toner lactic acid aha,er,toner,lactic acid aha,pure bright purifying
cerave moisturising cream ceramide moisturizer normal dry skin,cerave,"moisturizer, cream",ceramide,"moisturising, normal dry skin"
dermapro cream pelembab kulit,dermapro,"cream, pelembab",,kulit
suu balm lotion pelembab tubuh untuk kulit kering sensitif rentan eksim aman ibu hamil menyusui ceramide lawan gatal no steroid cooling menthol,suu balm,lotion,ceramide,"no steroid cooling menthol, aman ibu hamil menyusui, pelembab tubuh untuk kulit kering sensitif rentan eksim, lawan gatal"
er advanced anti - aging kerutan serum night cream day sunscreen facial wash cleanser toner,er,"serum, cream, sunscreen facial wash cleanser toner",,"advanced anti - aging, day, kerutan, night"
hydrasoothe barrier toner infused serum pelembap wajah meredakan kemerahan mengatasi iritasi kulit,,toner infused serum,,"hydrasoothe barrier, pelembap wajah meredakan kemerahan mengatasi iritasi kulit"
sulwhasoo uv daily essential sunscreen tabir surya semua jenis kulit,sulwhasoo,essential sunscreen tabir surya,,"uv daily, semua jenis kulit"
happy green rose water damascena,happy green,,rose water damascena,
happy green jojoba oil,happy green,,jojoba oil,
sulwhasoo first activating serum 6th anti - aging essence boosting perawatan wajah strengthen skin barrier ginseng,sulwhasoo,"serum, essence",ginseng,"6th anti - aging, activating, boosting perawatan wajah strengthen skin barrier, first"
r1 reviving midnight care cream malam wajah pria,r1,"cream, wajah",,"malam, reviving midnight care, pria"
r1 pagi face wash uv watery shield sunscreen,r1,"face wash, sunscreen",,"pagi, uv watery shield"
r1 face wash sabun wajah pria,r1,face wash sabun wajah pria,,
sulwhasoo uv daily tone up sunscreen tabir surya semua jenis kulit,sulwhasoo,tone up sunscreen tabir surya,,"uv daily, semua jenis kulit"
er pure bright moisturizer night cream arbutin,er,"moisturizer, cream",arbutin,"pure bright, night"
happy green rice bran oil bekatul,happy green,,rice bran oil bekatul,
sulwhasoo,sulwhasoo,,,
fabil niacinamide centella bright serum mencerahkan menghilangkan noda hitam meratakan warna kulit wajah tetap terhidrasi sepanjang hari sehat cica licorice,fabil,serum,"cica licorice, niacinamide centella","mencerahkan menghilangkan noda hitam meratakan warna kulit wajah tetap terhidrasi sepanjang hari sehat, bright"
20 niacinamide rice glow booster serum mencerahkan menghilangkan noda hitam meratakan warna kulit wajah,20,serum,niacinamide rice,"mencerahkan menghilangkan noda hitam meratakan warna kulit wajah, glow booster"
bdl soap sabun pepaya membersihkan,bdl,"sabun, soap",pepaya,membersihkan
flacenta brightening soap pearl,flacenta,soap,pearl,brightening
bdl moisturizer night cream papaya pelembab wajah mencerahkan meratakan warna kulit vitamin e,bdl,"moisturizer, cream","papaya, vitamin e","pelembab wajah mencerahkan meratakan warna kulit, night"
bdl facial wash papaya bengkuang manggis sabun cuci wajah untuk mencerahkan menghilangkan jerawat flek hitam,bdl,"facial wash, sabun cuci wajah",papaya bengkuang manggis,untuk mencerahkan menghilangkan jerawat flek hitam
bdl facial wash papaya bengkuang manggis sabun cuci wajah untuk mencerahkan menghilangkan jerawat flek hitam,bdl,"facial wash, sabun cuci wajah",papaya bengkuang manggis,untuk mencerahkan menghilangkan jerawat flek hitam
bdl brightening soap,bdl,soap,,brightening
bdl papaya facial wash,bdl,facial wash,papaya,
bdl facial wash,bdl,facial wash,,
bdl sabun papaya facial wash brightening soap untuk kulit berminyak jerawat,bdl,"facial wash, sabun, soap",papaya,"untuk kulit berminyak jerawat, brightening"
poise facial foam anti bacterial,poise,facial foam,,anti bacterial
poise sabun wajah white,poise,sabun wajah,,white
poise facial foam clearshine,poise,facial foam,,clearshine
poise facial foam anti jerawat,poise,facial foam,,anti jerawat
poise facial foam white,poise,facial foam,,white
dojako basic glowing perawatan kulit optimal amino acid cleanser toner cream spf 50 pa,dojako,"cleanser toner, cream",amino acid,"basic glowing perawatan kulit optimal, spf 50 pa"
dojako milk hydrating toner face mist setting spray,dojako,toner face mist setting spray,milk,hydrating
wardah bright creamy foam brightening smooth glow,wardah,creamy foam,,"bright, brightening smooth glow"
glikoderm clarifying facial cleanser,glikoderm,facial cleanser,,clarifying
paul joe hydrating gel,paul joe,gel,,hydrating
glikoderm moisturizing cream,glikoderm,cream,,moisturizing
labore sensitive cream,labore,cream,,sensitive
garnier men turbolight oil control brightening scrub,garnier men,scrub,,turbolight oil control brightening
do skin brightening serum aging,do skin,serum,,"aging, brightening"
dojako basic bumil busui facial foam amino acid cleanser toner sunscreen spf50 pa,dojako,"facial foam, cleanser toner, sunscreen",amino acid,"spf50 pa, basic bumil busui"
dojako lawan bintik flek hitam cream sunscreen facial foam,dojako,cream sunscreen facial foam,,lawan bintik flek hitam
dojako serum proxylane mencerahkan mengencangkan wajah kulit kering jerawat glutathione anti - aging kerutan oat,dojako,serum,"glutathione, proxylane, oat","anti - aging kerutan, mencerahkan mengencangkan wajah kulit kering jerawat"
wardah lightening face toner clean white,wardah,face toner,,"clean white, lightening"
jf jerawat spot care cleanser,jf,cleanser,,jerawat spot care
topicare soothing cream,topicare,cream,,soothing
dojako glowing awet muda amino acid cleanser toner serum anti kerut pelembab cream spf 50 pa,dojako,"serum, cleanser toner, pelembab cream",amino acid,"spf 50 pa, glowing awet muda, anti kerut"
white flek hitam jerawat dojako,dojako,,,white flek hitam jerawat
toner jerawat treatment obat totol facial wash dojako,dojako,"obat totol facial wash, toner",,jerawat treatment
kahf oil and jerawat care face wash,kahf,face wash,,oil and jerawat care
mata bintitan timbilan pengempis benjolan kelopak propolis sm,sm,,propolis,mata bintitan timbilan pengempis benjolan kelopak
cream anti noda bintik flek hitam hilang dojako memutihkan mencerahkan pelembab penghilang hyaluronic acid vitamin c,dojako,"cream, pelembab",hyaluronic acid vitamin c,"penghilang, memutihkan mencerahkan, anti noda bintik flek hitam hilang"
paul joe lotion,paul joe,lotion,,
ichtiyol zalf,ichtiyol zalf,,,
paul joe cleansing gel,paul joe,gel,,cleansing
viva milk cleanser cucumber,viva,cleanser,"milk, cucumber",
complete easy,complete easy,,,
glowing jerawat dojako,dojako,,,glowing jerawat
facial foam serum jerawat dojako,dojako,facial foam serum,,jerawat
oilum hydrating care facial,oilum,facial,,hydrating care
do skin daily day cream sunscreen spf,do skin,cream sunscreen,,"daily day, spf"
derma xp white serum,derma xp,serum,,white
blink n clean,blink n clean,,,
do skin brightening night cream,do skin,cream,,brightening night
labore sensitive skin nutrition gel,labore,gel,,"skin nutrition, sensitive"
paul joe,paul joe,,,
propolis sm penghilang panu anak kulit badan wajah,sm,,propolis,"kulit badan wajah, penghilang panu anak"
melanox cream,melanox,cream,,
hanasui vitamin c collagen serum,hanasui,serum,vitamin c collagen,
octenilin gel,octenilin,gel,,
amino acid cleanser facial foam sabun cuci wajah dojako mengencangkan membersihkan cleansing mencerahkan natural bamboo charcoal,dojako,cleanser facial foam sabun cuci wajah,"bamboo charcoal, amino acid",mengencangkan membersihkan cleansing mencerahkan natural
do skin jerawat cleanser,do skin,cleanser,,jerawat
do skin facial toner,do skin,facial toner,,
bio oil,bio oil,,,
jf sulfur jerawat protect soap,jf,soap,sulfur,jerawat protect
dear doer cleansing mask cleanser,dear doer,mask cleanser,,cleansing
cream glowing white facial foam dojako,dojako,"facial foam, cream",,glowing white
