text,merek,jenis_produk,kandungan,manfaat,topik,topik_label
skintific repair ceramide barrier,skintific,,ceramide,"barrier, repair",2,Pembersih Wajah dan Perawatan Jerawat
kahf skin energizing brightening face wash sabun cleanser wajah pria,kahf,face wash sabun cleanser,,"skin energizing brightening, wajah pria",2,Pembersih Wajah dan Perawatan Jerawat
azarine radiance barrier moisturizer pelembab wajah,azarine,moisturizer pelembab wajah,,radiance barrier,1,Skincare Anti-Aging dan Brightening
cetaphil cleanser wajah tubuh,cetaphil,cleanser,,wajah tubuh,5,Brightening dengan Bahan Aktif
parasol uv guard spf 30 pa sunscreen,parasol,sunscreen,,uv guard spf 30 pa,5,Brightening dengan Bahan Aktif
clinelle purifying gel moisturizer pelembab kulit wajah,clinelle,gel moisturizer,,"pelembab kulit wajah, purifying",3,"Pelembap, Retinol, dan Perlindungan Kulit"
light foam,,foam,,light,,
nuface glow brighten supple skin serum niacinamide,nuface,serum,niacinamide,"brighten supple skin, glow",5,Brightening dengan Bahan Aktif
derma facial wash normal dry skin,derma,facial wash,,normal dry skin,,
la roche posay serum,la roche posay,serum,,,1,Skincare Anti-Aging dan Brightening
dermawand solusi kulit keriput noda hitam,dermawand,,,solusi kulit keriput noda hitam,2,Pembersih Wajah dan Perawatan Jerawat
banana boat spray spf50,banana boat,spray,,spf50,2,Pembersih Wajah dan Perawatan Jerawat
labore hydrating face body cleanser wajah tubuh,labore,body cleanser,,"hydrating face, wajah tubuh",3,"Pelembap, Retinol, dan Perlindungan Kulit"
cetaphil moisturizing lotion tubuh untuk melembapkan kulit,cetaphil,lotion,,"moisturizing, tubuh untuk melembapkan kulit",,
la roche posay sunscreen uvmune oil control,la roche posay,sunscreen,,"oil control, uvmune",5,Brightening dengan Bahan Aktif
erha shield sunscreen oily skin spf 30 pa wajah berminyak,erha,sunscreen,,"oily skin spf 30 pa wajah berminyak, shield",1,Skincare Anti-Aging dan Brightening
kelly lemon soap,kelly,soap,lemon,,3,"Pelembap, Retinol, dan Perlindungan Kulit"
skin aqua tone up uv essence spf 50 pa perlindungan terbaik untuk wajah tubuh segar natural hyaluronic,skin aqua,"essence, tone up",hyaluronic,"spf 50 pa perlindungan terbaik untuk wajah tubuh segar natural, uv",,
nuface glow acneprone care serum jerawat,nuface,serum,,"acneprone care, glow, jerawat",4,Hidrasi dan Perawatan Kulit Sensitif
fair lovely glow vitamin c mask,fair lovely,mask,vitamin c,glow,,
bioderma spf sunscreen kulit sensitif,bioderma,sunscreen,,"kulit sensitif, spf",2,Pembersih Wajah dan Perawatan Jerawat
banana boat ultra protect spf30 sunblock wajah,banana boat,sunblock wajah,,ultra protect spf30,4,Hidrasi dan Perawatan Kulit Sensitif
cerave daily moisturising cream dry to very skin,cerave,cream,,"daily moisturising, dry to very skin",2,Pembersih Wajah dan Perawatan Jerawat
ponds men light,ponds men,,,light,2,Pembersih Wajah dan Perawatan Jerawat
himalaya brightening vitamin c orange face wash,himalaya,face wash,vitamin c orange,brightening,3,"Pelembap, Retinol, dan Perlindungan Kulit"
azarine calm my jerawat sunscreen moisturizer spf35 tabir surya gel,azarine,"sunscreen moisturizer, tabir surya gel",,"calm my jerawat, spf35",5,Brightening dengan Bahan Aktif
hada labo gokujyun eye cream pelembab hitam hydrating,hada labo gokujyun,cream,,"eye, pelembab hitam hydrating",2,Pembersih Wajah dan Perawatan Jerawat
bioderma moisturizer pelembap,bioderma,"moisturizer, pelembap",,,5,Brightening dengan Bahan Aktif
simple kind to skin hydrating light moisturizer pelembab wajah,simple kind to skin,moisturizer pelembab wajah,,hydrating light,,
emina bright jerawat face wash untuk facial hitam,emina,face wash,,"bright, jerawat, untuk facial hitam",3,"Pelembap, Retinol, dan Perlindungan Kulit"
skin aqua shield serum uv spf 50 acid aging,skin aqua,serum,,"shield, uv spf 50 acid aging",4,Hidrasi dan Perawatan Kulit Sensitif
acnes natural care yoghurt face wash facial membersihkan,acnes,face wash,yoghurt,"facial membersihkan, natural care",3,"Pelembap, Retinol, dan Perlindungan Kulit"
kahf face wash triple action oil and comedo,kahf,face wash,,triple action oil and comedo,5,Brightening dengan Bahan Aktif
senka facial foam white cleanser wajah,senka,"cleanser wajah, facial foam",,white,2,Pembersih Wajah dan Perawatan Jerawat
vaseline aloe fresh hydrating pump,vaseline,pump,aloe,fresh hydrating,2,Pembersih Wajah dan Perawatan Jerawat
melano vitamin c brightening toner mencerahkan wajah kusam hitam dark kering perawatan,melano,toner,vitamin c,"brightening, mencerahkan wajah kusam hitam dark kering perawatan",4,Hidrasi dan Perawatan Kulit Sensitif
himalaya men power glow licorice face wash cleanser wajah pria,himalaya men,face wash cleanser,licorice,"power glow, wajah pria",,
la roche posay cleanser foaming gel,la roche posay,"cleanser, foaming gel",,,2,Pembersih Wajah dan Perawatan Jerawat
cetaphil daily exfoliating cleanser,cetaphil,cleanser,,daily exfoliating,,
neutrogena dry touch sunscreen spf face sunblock,neutrogena,"face sunblock, sunscreen",,"dry touch, spf",5,Brightening dengan Bahan Aktif
kahf exfoliating face scrub angkat sel kulit mati lawan noda hitam,kahf,face scrub,,"angkat sel kulit mati lawan noda hitam, exfoliating",4,Hidrasi dan Perawatan Kulit Sensitif
cetaphil daily facial lotion spf15 sun care,cetaphil,lotion,,"daily facial, spf15 sun care",3,"Pelembap, Retinol, dan Perlindungan Kulit"
cerave foaming cleanser normal to oily skin wajah,cerave,foaming cleanser,,normal to oily skin wajah,,
cetaphil serum bright healthy radiance perfecting,cetaphil,serum,,bright healthy radiance perfecting,,
skintific ceramide low ph cleanser sensitive skin,skintific,cleanser,ceramide,"low ph, sensitive skin",,
bioderma sabun kulit kering sensitif,bioderma,sabun,,kulit kering sensitif,,
azarine hydrashoothe sunscreen gel spf45 tabir surya,azarine,"sunscreen gel, tabir surya",,"hydrashoothe, spf45",3,"Pelembap, Retinol, dan Perlindungan Kulit"
cerave hydrating cleanser normal to dry skin facial wash,cerave,"cleanser, facial wash",,"hydrating, normal to dry skin",,
hada labo tamagohada face wash make up remover,hada labo tamagohada,face wash,,make up remover,5,Brightening dengan Bahan Aktif
nivea men face wash deep jerawat attack scrub,nivea men,"face wash, scrub",,deep jerawat attack,2,Pembersih Wajah dan Perawatan Jerawat
erha niacinamide essence night cream moisturizer wajah pelembab lightening,erha,"cream moisturizer wajah pelembab, essence",niacinamide,"lightening, night",3,"Pelembap, Retinol, dan Perlindungan Kulit"
garnier men turbo light whitet oilcontrol,garnier men,,,turbo light whitet oilcontrol,3,"Pelembap, Retinol, dan Perlindungan Kulit"
y o u amino oil control facial wash membersihkan pori mengeksfoliasi kulit hyaluronic acid,y o u,facial wash,"amino, hyaluronic acid","membersihkan pori mengeksfoliasi kulit, oil control",1,Skincare Anti-Aging dan Brightening
neutrogena hydro boost hyaluronic acid water gel pelembap wajah,neutrogena hydro,water gel pelembap wajah,hyaluronic acid,boost,,
la roche posay sun screen uvmune spf50,la roche posay,sun screen,,"spf50, uvmune",,
senka facial foam jerawat care cleanser wajah,senka,"cleanser wajah, facial foam",,jerawat care,5,Brightening dengan Bahan Aktif
erha age corrector aha bha red algae sabun wajah mencerahkan kering berminyak niacinamide facial,erha,sabun wajah,"aha bha red algae, niacinamide","age corrector, facial, mencerahkan kering berminyak",,
ponds foam,ponds,foam,,,3,"Pelembap, Retinol, dan Perlindungan Kulit"
acnes creamy wash facial,acnes,creamy wash facial,,,,
cetaphil day protection cream spf15 pagi mencerahkan,cetaphil,cream,,"day protection, spf15 pagi mencerahkan",3,"Pelembap, Retinol, dan Perlindungan Kulit"
cetaphil cleanser,cetaphil,cleanser,,,,
sabun kojie san soap kojic acid,kojie san,"sabun, soap",kojic acid,,,
himalaya clear complexion white face wash pembasuh wajah,himalaya,face wash pembasuh wajah,,clear complexion white,4,Hidrasi dan Perawatan Kulit Sensitif
fair lovely vitamin cream,fair lovely,cream,vitamin,,5,Brightening dengan Bahan Aktif
biore mens facial foam bright oil clear,biore mens,facial foam,,bright oil clear,3,"Pelembap, Retinol, dan Perlindungan Kulit"
carasun healthy uv protector spf 50 pa sunscreen lotion wajah berminyak facial,carasun,sunscreen lotion,,"healthy, uv protector spf 50 pa, wajah berminyak facial",5,Brightening dengan Bahan Aktif
la roche posay face mist sensitive skin,la roche posay,face mist,,sensitive skin,1,Skincare Anti-Aging dan Brightening
safi age defy serum anti - aging,safi,serum,,"age defy, anti - aging",4,Hidrasi dan Perawatan Kulit Sensitif
erha chamomile jerawat blemish toner mencerahkan wajah berminyak perawatan,erha,toner,chamomile,"jerawat blemish, mencerahkan wajah berminyak perawatan",2,Pembersih Wajah dan Perawatan Jerawat
ponds,ponds,,,,5,Brightening dengan Bahan Aktif
nuface glow vitamin c serum pencerah kulit wajah kusam,nuface,serum,vitamin c,"glow, pencerah kulit wajah kusam",,
modis facial cotton,modis,facial cotton,,,,
safi white natural brightening cream mengontrol minyak strawberry lemon perawatan wajah mencerahkan vitamin,safi,cream,"strawberry lemon, vitamin","mengontrol minyak, perawatan wajah mencerahkan, white natural brightening",,
clinelle face mist,clinelle,face mist,,,2,Pembersih Wajah dan Perawatan Jerawat
erha shield daily sunscreen spf 50 pa sunblock facial,erha,"sunblock facial, sunscreen",,"daily, shield, spf 50 pa",2,Pembersih Wajah dan Perawatan Jerawat
precious skin anti melasma white collagen facial soap sabun membersihkan kotoran memutihkan wajah,precious skin,facial soap sabun,collagen,"anti melasma white, membersihkan kotoran memutihkan wajah",3,"Pelembap, Retinol, dan Perlindungan Kulit"
aveeno daily moisturising body wash sabun mandi,aveeno,body wash sabun mandi,,daily moisturising,3,"Pelembap, Retinol, dan Perlindungan Kulit"
bioderma sabun kulit kering sensitif,bioderma,sabun,,kulit kering sensitif,2,Pembersih Wajah dan Perawatan Jerawat
wardah bright creamy foam brightening oil control sabun pencuci wajah mencerahkan,wardah,"creamy foam, sabun pencuci wajah",,"bright, brightening oil control, mencerahkan",,
momami sun spf50 pa,momami,sun,,spf50 pa,3,"Pelembap, Retinol, dan Perlindungan Kulit"
emina bright face wash sabun cuci wajah mencerahkan glowing,emina,face wash sabun cuci wajah,,"bright, mencerahkan glowing",,
hada labo shirojyun white serum mencerahkan wajah tranexamic acid hyaluronic,hada labo shirojyun,serum,tranexamic acid hyaluronic,"mencerahkan wajah, white",3,"Pelembap, Retinol, dan Perlindungan Kulit"
senka facial foam collagen cleanser wajah,senka,"cleanser wajah, facial foam",collagen,,,
erha facial wash sabun wajah jerawat mencerahkan wanita cleanser kering berminyak perawatan,erha,"cleanser, facial wash sabun wajah",,"jerawat mencerahkan wanita, kering berminyak perawatan",2,Pembersih Wajah dan Perawatan Jerawat
cosrx salicylic acid daily cleanser,cosrx,cleanser,salicylic acid,daily,4,Hidrasi dan Perawatan Kulit Sensitif
vaseline repairing,vaseline,,,repairing,5,Brightening dengan Bahan Aktif
becefort kaplet suplemen vitamin c,becefort,kaplet suplemen,vitamin c,,,
silcot,silcot,,,,4,Hidrasi dan Perawatan Kulit Sensitif
azarine cicamide barrier sunscreen moisturizer spf35 tabir surya gel,azarine,"sunscreen moisturizer, tabir surya gel",cicamide,"barrier, spf35",2,Pembersih Wajah dan Perawatan Jerawat
erha moisturizer skin barrier,erha,moisturizer,,skin barrier,4,Hidrasi dan Perawatan Kulit Sensitif
ceradan soothing gel pereda gatal pada kulit,ceradan,gel,,"pereda gatal pada kulit, soothing",4,Hidrasi dan Perawatan Kulit Sensitif
ceradan skin barrier repair cream pereda iritasi pada kulit,ceradan,cream,,"pereda iritasi pada kulit, skin barrier repair",1,Skincare Anti-Aging dan Brightening
you amino oil control facial wash hydrate brighten,you,facial wash,amino,"hydrate brighten, oil control",5,Brightening dengan Bahan Aktif
kahf jerawat pore cleanse scrub face wash sabun cleanser wajah pria,kahf,scrub face wash sabun cleanser,,"jerawat pore cleanse, wajah pria",,
ceradan ceramide cleanser face body pump sabun,ceradan,"cleanser, pump sabun",ceramide,face body,5,Brightening dengan Bahan Aktif
erha zinc gluconate pore minimizing toner wajah mencerahkan wanita jerawat,erha,toner wajah,zinc gluconate,"mencerahkan wanita jerawat, pore minimizing",1,Skincare Anti-Aging dan Brightening
ceradan ceramide cleanser face body pump,ceradan,"cleanser, pump",ceramide,face body,,
nivea sun face protection serum spf 50 pa oil control,nivea,serum,,"spf 50 pa oil control, sun face protection",,
you daily defense sunscreen serum spf30 perlindungan uv uva uvb blue light untuk kulit kering berminyak,you,sunscreen serum,,"daily defense, spf30 perlindungan uv uva uvb blue light untuk kulit kering berminyak",2,Pembersih Wajah dan Perawatan Jerawat
cetaphil cleanser skin renewing,cetaphil,cleanser,,skin renewing,5,Brightening dengan Bahan Aktif
cosrx aha bha clarifying treatment toner exfoliating ringan untuk semua jenis kulit,cosrx,toner,aha bha,"clarifying treatment, exfoliating ringan untuk semua jenis kulit",,
jf jerawat protect mild care sabun,jf,sabun,,jerawat protect mild care,2,Pembersih Wajah dan Perawatan Jerawat
himalaya moisturizing aloe vera face wash cleanser wajah,himalaya,face wash cleanser wajah,aloe vera,moisturizing,3,"Pelembap, Retinol, dan Perlindungan Kulit"
hada labo gokujyun anti - aging serum,hada labo gokujyun,serum,,anti - aging,4,Hidrasi dan Perawatan Kulit Sensitif
senka facial foam sabun cleanser wajah,senka,"facial foam, sabun cleanser wajah",,,3,"Pelembap, Retinol, dan Perlindungan Kulit"
,,,,,,
clinelle purifying toner,clinelle,toner,,purifying,3,"Pelembap, Retinol, dan Perlindungan Kulit"
banana boat ultra protect faces lotion spf50,banana boat,lotion,,"spf50, ultra protect faces",,
kahf exfoliating face scrub cleanser noda hitam wajah kopi mencerahkan,kahf,face scrub cleanser,kopi,"exfoliating, mencerahkan, noda hitam wajah",3,"Pelembap, Retinol, dan Perlindungan Kulit"
bioderma sebium pore refiner cream pengecil pori wajah,bioderma,cream,,"pengecil pori wajah, sebium pore refiner",,
acnes natural care oil control face wash facial komedo,acnes,face wash,,"facial komedo, natural care oil control",2,Pembersih Wajah dan Perawatan Jerawat
banana boat simply protect moisturizer sunscreen lotion spf50,banana boat,moisturizer sunscreen lotion,,"simply protect, spf50",,
bioderma essence lotion toner pelembab wajah,bioderma,essence lotion toner pelembab wajah,,,4,Hidrasi dan Perawatan Kulit Sensitif
emina sun battle bright glow spf 35 pa sunscreen serum amino vitamin c,emina,sunscreen serum,amino vitamin c,sun battle bright glow spf 35 pa,2,Pembersih Wajah dan Perawatan Jerawat
wardah aloe hydramild facial wash,wardah,facial wash,aloe,hydramild,2,Pembersih Wajah dan Perawatan Jerawat
nuface hydra lock youthful skin serum anti - aging,nuface,serum,,"anti - aging, hydra lock youthful skin",2,Pembersih Wajah dan Perawatan Jerawat
nuface me sun shield spf 50 pa,nuface me,,,sun shield spf 50 pa,2,Pembersih Wajah dan Perawatan Jerawat
erha face wash sabun wajah kulit sensitif,erha,"face wash, sabun wajah",,kulit sensitif,3,"Pelembap, Retinol, dan Perlindungan Kulit"
skintific toner soothing ceramide repair skin barrier,skintific,toner,ceramide,"repair skin barrier, soothing",,
erha brightening pore toner pencerah wajah hitam pelembab hydrating tranexamic acid,erha,"pelembab, toner",tranexamic acid,"brightening pore, hydrating, pencerah wajah hitam",2,Pembersih Wajah dan Perawatan Jerawat
bioderma gel moisturizer,bioderma,"gel, moisturizer",,,,
safi age defy radiant day cream emulsion spf 25 pa pagi,safi,cream emulsion,,"age defy radiant day, spf 25 pa pagi",2,Pembersih Wajah dan Perawatan Jerawat
cerave facial moisturising lotion spf30 pelembab wajah,cerave,"lotion, pelembab wajah",,"facial moisturising, spf30",5,Brightening dengan Bahan Aktif
neutrogena moisturizer repair regenerating cream pelembap untuk mengurangi kerutan,neutrogena,"cream pelembap, moisturizer",,"repair regenerating, untuk mengurangi kerutan",,
skintific moisturizer gel ceramide repair skin barrier,skintific,moisturizer gel,ceramide,repair skin barrier,2,Pembersih Wajah dan Perawatan Jerawat
cetaphil sunscreen spf50 light gel tabir surya ringan untuk kulit sensitif perlindungan uva uvb,cetaphil,"gel tabir surya, sunscreen",,"ringan untuk kulit sensitif perlindungan uva uvb, spf50 light",5,Brightening dengan Bahan Aktif
you amino anti jerawat facial wash sabun cuci wajah,you,facial wash sabun cuci wajah,amino,anti jerawat,3,"Pelembap, Retinol, dan Perlindungan Kulit"
safi ultimate bright purifying cleanser wajah pori,safi,cleanser,,"ultimate bright purifying, wajah pori",1,Skincare Anti-Aging dan Brightening
senka facial foam white sabun cleanser wajah,senka,"facial foam, sabun cleanser wajah",,white,2,Pembersih Wajah dan Perawatan Jerawat
erha toner untuk kulit sensitif,erha,toner,,untuk kulit sensitif,3,"Pelembap, Retinol, dan Perlindungan Kulit"
biore mens facial foam clean oil balance sabun wajah,biore mens,"facial foam, sabun wajah",,clean oil balance,,
you amino anti bacterial facial wash acid berminyak,you,facial wash,"acid, amino","anti bacterial, berminyak",1,Skincare Anti-Aging dan Brightening
you amino brightening facial wash pencerah wajah kuning hyaluronic acid asam untuk membersihkan pori angkat sel kulit mati,you,facial wash,"amino, asam, hyaluronic acid","brightening, pencerah wajah kuning, untuk membersihkan pori angkat sel kulit mati",,
somethinc acnedot treatment moisturizer gel pelembab wajah,somethinc,moisturizer gel pelembab wajah,,acnedot treatment,,
nivea body spf,nivea,,,"body, spf",3,"Pelembap, Retinol, dan Perlindungan Kulit"
you amino brightening facial wash pencerah wajah acid,you,facial wash,"acid, amino","brightening, pencerah wajah",5,Brightening dengan Bahan Aktif
acnes creamy wash facial,acnes,creamy wash facial,,,1,Skincare Anti-Aging dan Brightening
erha facial wash jerawat berminyak wajah perawatan,erha,facial wash,,"berminyak wajah perawatan, jerawat",5,Brightening dengan Bahan Aktif
azarine daily moisturizer oil brightening,azarine,moisturizer,,"daily, oil brightening",,
senka facial foam fresh anti shine,senka,facial foam,,fresh anti shine,5,Brightening dengan Bahan Aktif
erha21 erha facial wash normal dry skin sabun wajah wanita vitamin,erha21 erha,"facial wash, sabun wajah",vitamin,"normal dry skin, wanita",2,Pembersih Wajah dan Perawatan Jerawat
labore repair cream pelembab kulit sangat kering sensitif,labore,cream,,"pelembab kulit sangat kering sensitif, repair",,
momami soothing gel aloe vera,momami,gel,aloe vera,soothing,3,"Pelembap, Retinol, dan Perlindungan Kulit"
natur e advanced intensive eye treatment serum perawatan mata astaxanthin cucumber vitamin,natur e,serum,"astaxanthin cucumber, vitamin","advanced intensive eye treatment, perawatan mata",,
bioderma cleanser wajah untuk kulit sensitif,bioderma,cleanser wajah,,untuk kulit sensitif,3,"Pelembap, Retinol, dan Perlindungan Kulit"
kahf triple protection sunscreen moisturizer spf 30 pa pelembap wajah pria melindungi dari sinar uv,kahf,"pelembap, sunscreen moisturizer",,"spf 30 pa, triple protection, wajah pria melindungi dari sinar uv",3,"Pelembap, Retinol, dan Perlindungan Kulit"
nivea men white oil control facial foam,nivea men,facial foam,,white oil control,2,Pembersih Wajah dan Perawatan Jerawat
kahf sunscreen stick spf 50 pa tabir surya pria,kahf,"sunscreen stick, tabir surya",,"pria, spf 50 pa",4,Hidrasi dan Perawatan Kulit Sensitif
spf 50 pa lotion wajah ultra protection sunscreen cooling perlindungan uv terbaik tahan air keringat segar pendinginan,,"lotion wajah, sunscreen",,"cooling perlindungan uv terbaik tahan air keringat segar pendinginan, spf 50 pa, ultra protection",3,"Pelembap, Retinol, dan Perlindungan Kulit"
la roche posay balm,la roche posay,balm,,,,
azarine hydrasoothe sunscreen gel spf45 pa tabir surya pelembab kulit,azarine,"sunscreen gel, tabir surya",,"hydrasoothe, pelembab kulit, spf45 pa",1,Skincare Anti-Aging dan Brightening
cerave foaming cleanser normal to oily skin wajah,cerave,foaming cleanser,,normal to oily skin wajah,4,Hidrasi dan Perawatan Kulit Sensitif
skin aqua uv moisturizer milk spf50 pa perawatan wajah melindungi kulit serta mencerahkan,skin aqua,moisturizer,milk,"perawatan wajah melindungi kulit serta mencerahkan, spf50 pa, uv",5,Brightening dengan Bahan Aktif
hanasui white serum,hanasui,serum,,white,3,"Pelembap, Retinol, dan Perlindungan Kulit"
verile jerawat care facial wash sabun pencuci wajah,verile,facial wash sabun pencuci wajah,,jerawat care,2,Pembersih Wajah dan Perawatan Jerawat
hanasui vitamin c serum orange,hanasui,serum,"orange, vitamin c",,,
erha jerawat sunscreen spf 45 pa wajah mencerahkan,erha,sunscreen,,"jerawat, spf 45 pa wajah mencerahkan",1,Skincare Anti-Aging dan Brightening
la roche posay moisturizer untuk melembabkan kulit sensitif,la roche posay,moisturizer,,untuk melembabkan kulit sensitif,,
bioderma ultra face body moisturizer pelembab kulit,bioderma,moisturizer,,"pelembab kulit, ultra face body",4,Hidrasi dan Perawatan Kulit Sensitif
scabimite blacksoap cleansing,scabimite,blacksoap,,cleansing,,
clinelle hydracalm cream wajah,clinelle,cream wajah,,hydracalm,4,Hidrasi dan Perawatan Kulit Sensitif
acnes natural care yoghurt face wash facial komedo,acnes,face wash,yoghurt,"facial komedo, natural care",5,Brightening dengan Bahan Aktif
hada labo tamagohada lotion mild peeling,hada labo tamagohada,lotion,,mild peeling,2,Pembersih Wajah dan Perawatan Jerawat
nivea sun face serum instant aura spf 50 sunscreen wajah,nivea,"sun face serum, sunscreen wajah",,instant aura spf 50,,
clinelle hydracalm lotion melembabkan kulit wajah,clinelle,lotion,,"hydracalm, melembabkan kulit wajah",,
la roche posay vitamin c12 mencerahkan menyamarkan kerutan,la roche posay,,vitamin c12,mencerahkan menyamarkan kerutan,,
azarine hydramax c sunscreen serum spf 50 pa,azarine,sunscreen serum,c,"hydramax, spf 50 pa",,
himalaya clear complexion white face wash cleanser wajah,himalaya,face wash cleanser wajah,,clear complexion white,2,Pembersih Wajah dan Perawatan Jerawat
emina bright face wash,emina,face wash,,bright,2,Pembersih Wajah dan Perawatan Jerawat
glowsophy watermelon brightening moisturizer skin barrier niacinamide gel day and night pelembab wajah mencerahkan kulit bercahaya cream pencerah ceramide,glowsophy,"cream, gel, moisturizer, pelembab wajah","ceramide, niacinamide, watermelon","brightening, day and night, mencerahkan kulit bercahaya, pencerah, skin barrier",,
erha age corrector day cream peptides hyaluronate moisturizer pelembab hitam perawatan,erha,"cream, moisturizer",peptides hyaluronate,"age corrector day, pelembab hitam perawatan",,
erha deep cleansing facial wash sabun wajah pria,erha,facial wash sabun wajah pria,,deep cleansing,3,"Pelembap, Retinol, dan Perlindungan Kulit"
biore uv aqua rich sunscreen,biore,sunscreen,aqua,"rich, uv",3,"Pelembap, Retinol, dan Perlindungan Kulit"
white neng skin cream penyamar noda hitam wajah,,skin cream,,"penyamar noda hitam wajah, white neng",,
azarine toner acids glowing,azarine,toner,acids,glowing,,
garnier men fight anti jerawat,garnier men,,,fight anti jerawat,,
himalaya oil control lemon face wash cleanser wajah minyak,himalaya,face wash cleanser,lemon,"oil control, wajah minyak",2,Pembersih Wajah dan Perawatan Jerawat
acnes natural care oil control face wash,acnes,face wash,,natural care oil control,5,Brightening dengan Bahan Aktif
erha arbutin panthenol brightening day cream wajah niacinamide pelembab,erha,"cream wajah, pelembab","arbutin panthenol, niacinamide",brightening day,,
skintific moisturizer cream gel,skintific,moisturizer cream gel,,,,
erha niacinamide peptide dark spot corrector hitam perawatan wajah,erha,,niacinamide peptide,dark spot corrector hitam perawatan wajah,3,"Pelembap, Retinol, dan Perlindungan Kulit"
erha booster facial wash sabun wajah pencerah pria,erha,booster facial wash sabun wajah,,pencerah pria,1,Skincare Anti-Aging dan Brightening
physiogel cream,physiogel,cream,,,,
erto why jerawat toner untuk kulit berminyak prone skin oil control anti inflamasi,erto why,toner,,"jerawat, untuk kulit berminyak prone skin oil control anti inflamasi",,
why jerawat facial wash ertos cleanser untuk kulit berminyak prone skin oil control wajah sabun cuci anti inflamasi,"ertos, why","cleanser, facial wash, sabun cuci",,"anti inflamasi, jerawat, untuk kulit berminyak prone skin oil control wajah",4,Hidrasi dan Perawatan Kulit Sensitif
clinelle hydracalm cleansing gel serum,clinelle,gel serum,,hydracalm cleansing,5,Brightening dengan Bahan Aktif
westcare uv protector spf 45 pa sunblock wajah,westcare,sunblock wajah,,uv protector spf 45 pa,,
sariayu age defense face serum,sariayu,face serum,,age defense,,
clinelle calm care treatment cream pelembab kulit sensitif kemerahan,clinelle,cream pelembab,,"calm care treatment, kemerahan, kulit sensitif",2,Pembersih Wajah dan Perawatan Jerawat
clinelle whitenup brightening cleanser,clinelle,cleanser,,whitenup brightening,5,Brightening dengan Bahan Aktif
clinelle purifying gel moisturizer pelembab wajah kulit berminyak jerawat,clinelle,gel moisturizer pelembab,,"purifying, wajah kulit berminyak jerawat",2,Pembersih Wajah dan Perawatan Jerawat
ovale facial lotion intense glow white aloe vera bengkoang,ovale,facial lotion,aloe vera bengkoang,intense glow white,,
viva face tonic lemon,viva,face tonic,lemon,,4,Hidrasi dan Perawatan Kulit Sensitif
erto facial treatment centella asiatica wash sabun cuci wajah cleanser ph balance untuk semua jenis kulit,erto,wash sabun cuci wajah cleanser,centella asiatica,"facial treatment, ph balance untuk semua jenis kulit",4,Hidrasi dan Perawatan Kulit Sensitif
berryc spray patch stiker anti nyamuk pengusir gigitan serangga anak bayi dewasa kuat awet lucu mini pocket semprotan,berryc,"mini pocket semprotan, patch stiker, spray",,"anti nyamuk, kuat awet lucu, pengusir gigitan serangga anak bayi dewasa",,
erto sabun cuci wajah cleanser ph balance untuk semua jenis kulit membersihkan kotoran perawatan,erto,sabun cuci wajah cleanser,,ph balance untuk semua jenis kulit membersihkan kotoran perawatan,,
sariayu spf 30 pa tone up sunscreen serum instant brightening mencerahkan non acnegenic comedogenic broad spectrum glowing sunblock,sariayu,"sunblock, tone up sunscreen serum",,"instant brightening mencerahkan, non acnegenic comedogenic broad spectrum glowing, spf 30 pa",,
physiogel daily moisturizer cream,physiogel,"cream, moisturizer",,daily,,
ertos serum retinol niacinamide,ertos,serum,retinol niacinamide,,3,"Pelembap, Retinol, dan Perlindungan Kulit"
,,,,,5,Brightening dengan Bahan Aktif
klinsen facial oil control white,klinsen,,,facial oil control white,,
sariayu jeruk cleansing milk,sariayu,,"jeruk, milk",cleansing,5,Brightening dengan Bahan Aktif
sariayu jeruk refreshing toner,sariayu,toner,jeruk,refreshing,,
anti - aging serum hydrating anti flek hitam untuk semua jenis kulit,,serum,,"anti - aging, hydrating anti flek hitam untuk semua jenis kulit",1,Skincare Anti-Aging dan Brightening
erto sunscreen gel sunblock untuk semua jenis kulit spf uva uvb protector skin barrier protect anti flek anti - aging,erto,sunscreen gel sunblock,,untuk semua jenis kulit spf uva uvb protector skin barrier protect anti flek anti - aging,,
clinelle firming cream,clinelle,cream,,firming,5,Brightening dengan Bahan Aktif
erto men serum malam niacinamide centella brigtening white,erto men,serum,niacinamide centella,"brigtening white, malam",5,Brightening dengan Bahan Aktif
erto night cream malam mencerahkan glowing brightening untuk kulit normal kering white moisturizer pelembab wajah,erto,"cream, moisturizer pelembab wajah",,"malam mencerahkan glowing brightening untuk kulit normal kering white, night",3,"Pelembap, Retinol, dan Perlindungan Kulit"
westcare exfoliating face wash,westcare,face wash,,exfoliating,,
sabun aha bha pha cleanser wajah ph balanced untuk kulit jerawat,,"cleanser wajah, sabun",aha bha pha,ph balanced untuk kulit jerawat,,
erto glowing day cream siang mencerahkan brightening white untuk kulit kering normal,erto,cream,,"glowing day, siang mencerahkan brightening white untuk kulit kering normal",,
astaderm gel pelembab wajah,astaderm,gel pelembab wajah,,,4,Hidrasi dan Perawatan Kulit Sensitif
sunscreen tone up serum sariayu spf 30 pa non alcohol,sariayu,sunscreen tone up serum,,spf 30 pa non alcohol,2,Pembersih Wajah dan Perawatan Jerawat
sunscreen spf 30 pa tone up serum,,"sunscreen, tone up serum",,spf 30 pa,5,Brightening dengan Bahan Aktif
